date,TEMP,pH,Cond,TD,DO,Mn,TP,NH3
03/11/2015,16.1,6.89,163,7.4,8.66,1.81,0.1,0.24
03/12/2015,16.4,6.93,167,8.5,8.63,1.97,0.09,0.22
03/13/2015,16.9,6.92,154,6,8.53,2.5,0.09,0.24
03/14/2015,16.9,6.91,152,5.5,8.44,2.82,0.09,0.22
03/15/2015,17.3,6.92,166,6.2,8.32,3.46,0.09,0.24
03/16/2015,18,6.87,149,6.3,8.25,3.21,0.09,0.25
03/17/2015,19.8,6.86,160,4.4,8.1,3.41,0.09,0.26
03/18/2015,20.5,6.76,162,4.9,7.64,3.74,0.1,0.35
03/19/2015,21.7,6.76,168,6.8,7.26,4.24,0.1,0.54
03/20/2015,22.2,6.74,172,6.6,7.11,3.76,0.1,0.52
03/21/2015,22.2,6.75,180,3.1,7.12,3.21,0.11,0.54
03/22/2015,,,,,,,,
03/23/2015,19.2,6.63,172,7.1,7.71,2.66,0.09,0.48
03/24/2015,19.1,6.66,165,9.1,7.56,2.45,0.08,0.42
03/25/2015,18.9,6.67,156,9.5,7.63,2.3,0.08,0.44
03/26/2015,18.4,6.7,157,6.2,7.79,2.33,0.08,0.43
03/27/2015,19.1,6.71,164,6.8,7.62,2.57,0.07,0.43
03/28/2015,20,6.72,155,8.4,7.61,2.41,0.08,0.42
03/29/2015,20.8,6.63,132,8.7,8.21,2.89,0.08,0.51
03/30/2015,21.2,6.8,176,7,8.68,4.52,0.08,0.44
03/31/2015,14,4.58,110,4.1,5.84,2.27,0.05,0.25
04/01/2015,22.8,7.2,128,7.8,8.35,2.47,0.1,0.35
04/02/2015,22.2,7.11,177,5.1,6.18,3.18,0.1,0.3
04/03/2015,22.8,7.05,180,7.2,6.27,2.62,0.09,0.35
04/04/2015,23.8,7.08,188,5.6,6.51,3.11,0.09,0.32
04/05/2015,24.6,7.18,194,5.1,7.12,3.41,0.09,0.2
04/06/2015,24.3,7.09,201,6.2,7.62,3.05,0.08,0.17
04/07/2015,23,7.21,207,5.2,8.32,3.56,0.08,0.1
04/08/2015,21,6.96,203,6.8,6.61,2.38,0.08,0.17
04/09/2015,19.9,6.88,201,8,6.51,2.44,0.08,0.26
04/10/2015,19.5,6.92,202,8.7,5.78,2.94,0.08,0.38
04/11/2015,19.4,6.85,188,9.3,5.6,3.06,0.08,0.39
04/12/2015,17.3,5.99,156,9.9,4.66,2.66,0.08,0.34
04/13/2015,19.6,6.83,184,9.6,7.07,3.98,0.09,0.44
04/14/2015,19.5,6.97,183,6.4,7.8,4.76,0.09,0.45
04/15/2015,20.1,7.06,190,7.8,7.09,4.63,0.09,0.38
04/16/2015,21,6.96,190,5.5,5.35,4.24,0.08,0.37
04/17/2015,21,7.02,199,7,5.3,4.34,0.08,0.35
04/18/2015,23,6.85,210,10.6,5.63,2.79,0.02,
04/19/2015,23.3,6.83,204,10.1,5.76,2.75,0.04,0.08
04/20/2015,21.4,6.9,202,14.3,5.63,3.32,0.09,0.34
04/21/2015,19.3,7,197,11.9,5.66,3.9,0.09,0.34
04/22/2015,20.1,6.94,199,8.9,5.56,3.79,0.08,0.4
04/23/2015,20,6.96,200,8.9,5.64,4.05,0.07,0.39
04/24/2015,19.6,6.9,197,5.6,5.53,3.88,0.07,0.36
04/25/2015,20,6.93,225,14.3,5.61,3.87,0.07,0.37
04/26/2015,20.6,6.88,217,8.3,5.61,4.69,0.07,0.36
04/27/2015,23.6,,187,16.9,5.61,4.22,0.08,0.39
04/28/2015,20.5,,218,18.1,4.83,4.21,0.09,0.45
04/29/2015,21.3,,208,,4.71,3.84,0.09,0.49
04/30/2015,22.1,7.12,196,3.1,5.32,3.89,0.08,0.54
05/01/2015,22.4,7.07,182,4.9,5.02,4.57,0.11,0.67
05/02/2015,22.4,7.07,192,10.9,4.45,4.73,0.12,0.63
05/03/2015,23.4,7.09,193,6.6,4.02,5.05,0.1,0.76
05/04/2015,22.6,7.12,197,7.8,4.69,4.54,0.08,0.69
05/05/2015,21.4,7,187,17.1,4.41,3.77,0.09,0.61
05/06/2015,21.2,7.05,165,36.2,5.17,2.92,0.09,0.76
05/07/2015,22.7,7.03,164,26.2,5.38,2.02,0.07,0.63
05/08/2015,23.9,7.03,154,27.4,5.06,2.64,0.1,0.31
05/09/2015,24.1,7.05,143,39.7,5.23,1.99,0.08,0.39
05/10/2015,23.9,6.99,136,39.2,5.21,2.3,0.08,0.46
05/11/2015,23.9,6.98,134,,5.34,2.76,0.08,0.38
05/12/2015,23.8,7.02,139,,5.63,2.6,0.08,0.29
05/13/2015,24,7.01,129,,5.68,2.27,0.07,0.23
05/14/2015,25.5,7,137,,5.07,3,0.08,0.27
05/15/2015,25.4,6.97,132,,5,2.7,0.07,0.24
05/16/2015,25.1,6.95,137,,4.91,2.89,0.06,0.25
05/17/2015,25.7,6.95,136,,4.84,2.9,0.06,0.24
05/18/2015,25.7,6.99,139,29.8,4.65,2.78,0.08,0.33
05/19/2015,25.1,7.03,126,304.9,5.37,3.09,0.09,0.42
05/20/2015,24.7,6.94,75,313.2,6.66,2.69,0.07,0.37
05/21/2015,24,6.62,50,40.1,6.69,1.97,0.02,
05/22/2015,22,6.8,67,284.1,7.63,1.8,0.03,
05/23/2015,21.9,7.03,79,547.1,9.38,4.87,,
05/24/2015,22.6,6.94,84,547.3,9.11,4.53,,
05/25/2015,23.1,6.85,83,546,8.91,4.33,,
05/26/2015,23.2,6.88,84,505.6,9.01,3.91,0.06,0.14
05/27/2015,23.4,6.87,87,523.2,9.44,5.14,0.06,0.32
05/28/2015,24.1,6.88,83,534.6,9.45,5.33,0.06,0.21
05/29/2015,25,6.84,80,457.8,9.28,5.08,0.05,0.18
05/30/2015,24.8,6.78,80,394.4,8.91,5.02,0.05,0.18
05/31/2015,24.5,7.03,85,403.8,9.66,5.55,0.07,0.18
06/01/2015,24.9,7.05,82,322.7,9.59,5.12,0.05,0.16
06/02/2015,25.5,6.87,80,256.2,9.11,4.8,0.04,0.14
06/03/2015,25.3,6.87,81,208,9.15,4.53,0.05,0.13
06/04/2015,25.3,6.98,91,183.8,9.2,4.7,0.04,0.12
06/05/2015,24.7,6.88,83,208.6,9.57,5,0.05,0.13
06/06/2015,24.3,6.92,84,153.6,9.99,3.94,0.05,0.1
06/07/2015,25.4,6.92,88,114.2,9.33,3.49,0.03,0.05
06/08/2015,25.9,6.81,88,72.8,8.65,3.31,0.03,0.09
06/09/2015,26,6.81,90,71.7,8.16,3.4,0.03,0.13
06/10/2015,26.3,6.77,94,64.2,7.87,3.42,0.04,0.11
06/11/2015,26.1,6.79,95,85.7,8.12,3.61,0.04,
06/12/2015,26,6.87,93,85.2,9.23,3.52,0.04,
06/13/2015,26,6.95,89,101.7,9.16,3.58,0.03,
06/14/2015,26.5,6.93,77,105,9.27,3.82,0.03,
06/15/2015,26.8,6.95,78,93.1,9.23,3.29,0.03,
06/16/2015,27.8,6.89,82,70,8.78,1.7,0.03,
06/17/2015,28,6.84,81,55.7,8.57,1.72,0.04,
06/18/2015,28,6.87,80,46.3,8.12,1.82,0.03,
06/19/2015,27.7,6.83,87,37,7.79,1.72,0.04,
06/20/2015,27.8,6.78,87,33.2,7.43,1.83,0.04,
06/21/2015,28.3,6.8,88,31.8,7.56,1.98,0.03,
06/22/2015,28.2,6.87,88,32.9,7.57,0.82,0.03,
06/23/2015,28,6.89,89,29.9,7.53,0.57,0.04,0.37
06/24/2015,28.2,6.89,91,26,7.56,1.98,0.04,0.06
06/25/2015,28.2,6.86,86,23.8,7.61,3.93,0.03,0.06
06/26/2015,28.4,6.84,86,23.8,7.4,4.18,0.03,0.06
06/27/2015,28.8,6.79,87,23.3,7.22,4.46,0.04,0.06
06/28/2015,28.7,6.79,86,21.4,7.02,4.58,0.04,0.06
06/29/2015,29.1,6.75,87,18.6,6.77,4.13,0.04,0.09
06/30/2015,29.3,6.72,86,19.6,6.72,4.05,0.04,0.09
07/01/2015,29.3,6.7,84,18.2,6.75,4.07,0.04,0.08
07/02/2015,28.5,6.7,83,22.7,6.94,4.02,0.04,0.08
07/03/2015,27.8,6.68,74,228.4,7.51,4.18,0.06,0.1
07/04/2015,26.3,6.78,58,482.7,10.92,5,0.02,0.06
07/05/2015,26.2,6.8,57,193.3,10.94,4.58,0.02,
07/06/2015,26.2,6.73,59,86.2,9.92,4.31,0.03,0.09
07/07/2015,26.1,6.72,61,55.2,9.85,4.11,0.02,0.09
07/08/2015,25.7,7.09,64,58.6,9.8,2.58,0.04,0.08
07/09/2015,26.4,7.06,67,45.4,9.31,2.21,0.06,0.1
07/10/2015,27,6.97,68,35.2,9,2.17,0.05,0.09
07/11/2015,27.2,6.98,70,37.3,8.74,2.08,0.05,0.08
07/12/2015,27.4,6.93,69,32.4,8.38,2.02,0.05,0.09
07/13/2015,27.8,6.86,70,25,8.31,2.15,0.05,0.09
07/14/2015,28.5,6.88,73,20.2,8.37,3.07,0.05,0.06
07/15/2015,28.9,6.82,72,19.4,8.05,3.58,0.05,0.12
07/16/2015,29.2,6.73,71,20.8,7.78,3.7,0.05,0.13
07/17/2015,29.3,6.78,71,28.6,7.9,3.45,0.05,0.1
07/18/2015,29.3,6.78,74,37.4,7.82,3.83,0.04,0.1
07/19/2015,29.4,6.76,68,48,8.08,4.17,0.04,0.11
07/20/2015,28.9,6.82,72,47.4,8.17,4.26,0.04,0.09
07/21/2015,28.2,6.74,69,51.5,8.03,4.52,0.05,0.12
07/22/2015,27.4,6.77,65,208.9,8.86,4.48,0.07,0.12
07/23/2015,26.5,6.72,57,535,11.58,,,0.1
07/24/2015,26.5,6.86,47,356.7,10.52,5.63,0.03,0.08
07/25/2015,27.1,7.15,55,140.4,8.02,4.96,0.03,0.07
07/26/2015,27.5,7.08,56,71.9,7.03,4.79,0.03,0.08
07/27/2015,28,7.06,59,52.9,6.74,3.24,0.03,0.1
07/28/2015,28.1,6.98,63,37.8,6.34,1.69,0.03,0.11
07/29/2015,27.9,6.99,60,33.4,6.35,1.39,0.03,0.1
07/30/2015,28,6.93,64,28.2,6.13,1.59,0.03,0.12
07/31/2015,28.5,6.97,70,25.3,5.88,1.48,0.04,0.1
08/01/2015,29.1,6.9,69,18.7,5.8,1.61,0.03,0.12
08/02/2015,29.3,6.81,67,14.9,5.77,1.58,0.02,0.11
08/03/2015,29.6,6.77,68,17.6,5.52,1.61,0.02,0.1
08/04/2015,29.9,6.7,68,19.7,5.12,1.7,0.03,0.09
08/05/2015,29.4,6.8,69,33.4,5.13,2.62,0.03,0.07
08/06/2015,29.3,6.85,69,32.8,5.23,2.61,0.03,
08/07/2015,29,6.79,69,35.9,4.93,3.15,0.04,
08/08/2015,28.1,6.8,65,53.8,5.31,3.23,0.04,
08/09/2015,27,7,64,143.6,6.1,3.5,0.05,
08/10/2015,26.4,6.94,59,106.8,6.62,3.89,0.04,
08/11/2015,26.5,6.87,56,58.2,6.89,3.69,0.05,
08/12/2015,26.6,6.95,60,47.5,7.17,3.47,0.06,
08/13/2015,26.7,6.96,58,35.9,6.97,3.57,0.05,
08/14/2015,26.5,6.93,54,60.2,6.82,3.87,0.05,
08/15/2015,26.5,6.88,53,86.4,7.03,4.03,0.05,
08/16/2015,26.8,6.85,52,63.3,7.16,3.57,0.04,
08/17/2015,27,6.87,56,72.9,7.14,3.78,0.04,
08/18/2015,27.2,6.72,33,12,7.38,3.28,0.01,
08/19/2015,25.6,6.55,21,76.7,7.96,3.48,0.01,
08/20/2015,25.8,6.56,27,40.2,7.15,3.42,0.01,
08/21/2015,25.8,6.47,26,34,6.12,3.24,0.03,
08/22/2015,26.4,6.45,22,69.5,7.14,2.8,0.08,
08/23/2015,25.3,6.42,19,99.9,8.92,2.74,0.11,
08/24/2015,25.8,6.5,28,31.6,7.05,2.59,0.12,
08/25/2015,25.1,6.49,22,100.7,8.35,2.68,0.12,
08/26/2015,25.4,6.57,27,26.3,7.09,3.27,0.06,
08/27/2015,27.2,6.84,43,53.3,7.24,3.87,0.06,
08/28/2015,27.9,6.82,61,12.6,6.16,3.86,0.07,
08/29/2015,27.3,6.75,61,12.7,6.18,3.16,0.07,
08/30/2015,26.9,6.76,62,18.1,6.2,3.28,0.07,
08/31/2015,26.7,6.73,62,18.5,6.38,3.35,0.07,
09/01/2015,26.2,6.71,60,22.6,6.52,3.11,0.08,
09/02/2015,25.9,6.7,58,95.6,7.41,3.57,0.09,
09/03/2015,25.9,6.76,56,147,8.64,3.61,0.07,
09/04/2015,25.9,6.71,56,110.7,8.19,3.78,0.07,
09/05/2015,26,6.7,56,71.2,7.99,3.88,0.06,
09/06/2015,26.2,6.68,53,52.7,7.3,3.49,0.07,
09/07/2015,26.5,6.71,58,43.1,7.08,3.64,0.07,
09/08/2015,26.9,6.68,58,26,6.88,3.5,0.07,
09/09/2015,27.2,6.64,59,19.6,6.54,3.6,0.06,0.06
09/10/2015,27.2,6.74,61,23.2,6.43,3.33,0.06,0.07
09/11/2015,27.2,6.72,60,19.6,6.57,3.5,0.06,0.07
09/12/2015,27.2,6.77,62,18.6,6.51,3.35,0.06,0.06
09/13/2015,26.4,6.78,64,37.1,6.36,3.35,0.06,0.06
09/14/2015,26.1,6.74,63,32.5,6.37,3.28,0.05,0.06
09/15/2015,26.2,6.76,66,22.4,6.44,3.19,0.05,0.07
09/16/2015,26.2,6.76,64,18.9,6.33,3.17,0.05,0.06
09/17/2015,26.2,6.76,63,16.2,6.54,3.31,0.05,0.06
09/18/2015,26.5,6.78,66,12.4,6.8,3.22,0.05,0.06
09/19/2015,26.2,6.76,63,10.3,6.54,3.24,0.05,0.06
09/20/2015,25.7,6.7,62,18,6.36,3.14,0.05,0.06
09/21/2015,25.1,6.76,58,63.2,6.78,3.4,0.06,0.07
09/22/2015,25,6.78,62,54.8,6.59,3.88,0.07,0.07
09/23/2015,25.5,6.73,60,31.5,6.3,3.78,0.06,0.06
09/24/2015,25.7,6.68,57,22.1,6.22,3.86,0.07,0.06
09/25/2015,25.9,6.71,62,25.9,5.82,4.05,0.06,0.07
09/26/2015,25.8,6.75,64,26.7,5.74,4.25,0.07,0.07
09/27/2015,26,6.76,65,23,6.37,4.4,0.06,0.07
09/28/2015,26,6.89,69,25.5,6.32,3.05,0.07,0.07
09/29/2015,26,7.13,76,40.3,6.74,2.35,0.08,0.07
09/30/2015,26.1,7.16,71,35,7.33,2,0.07,0.07
10/01/2015,26,7.19,69,36.3,7.55,1.85,0.08,0.07
10/02/2015,25.6,7.2,68,25.8,7.7,1.79,0.07,0.06
10/03/2015,25.5,7.09,65,18.8,7.41,1.76,0.06,0.06
10/04/2015,25.7,7.09,67,21.4,7.19,2.04,0.07,0.07
10/05/2015,25.7,7.01,68,27.5,7.41,2.08,0.06,0.07
10/06/2015,26,7,69,25.4,7.25,2.05,0.06,0.07
10/07/2015,25.9,6.96,69,24.6,7.28,1.93,0.06,0.07
10/08/2015,25.7,6.94,69,22.3,7.17,1.99,0.06,0.07
10/09/2015,25.2,6.94,84,22.2,7.36,2.08,0.06,0.06
10/10/2015,24.8,6.92,100,16.9,7.17,2.21,0.06,0.06
10/11/2015,24.6,6.93,102,14.2,7.24,2.21,0.06,0.06
10/12/2015,24.1,6.93,118,11.2,7.38,2.22,0.06,0.06
10/13/2015,20.5,6.03,116,12.4,6.4,1.95,0.04,0.06
10/14/2015,23,7.18,22,72.6,9.94,2.66,0.05,0.06
10/15/2015,24.2,6.94,129,17.3,7.02,2.82,0.05,0.07
10/16/2015,23.9,6.96,128,13.4,7.11,2.51,0.05,0.07
10/17/2015,23.7,6.96,127,14,7.33,2.53,0.05,0.07
10/18/2015,23.6,6.96,129,11.4,7.3,2.65,0.05,0.07
10/19/2015,23.6,6.89,129,11.4,7.24,2.67,0.05,0.07
10/20/2015,23.6,6.9,131,11.9,7.16,2.65,0.05,0.07
10/21/2015,24,6.92,131,12.3,7.18,2.84,0.05,0.07
10/22/2015,24,6.92,132,10.9,6.98,2.85,0.05,0.08
10/23/2015,24.2,6.95,130,11.4,7.3,2.44,0.06,
10/24/2015,24.8,7.07,137,7.3,7.95,2.11,0.06,
10/25/2015,25.1,7.14,141,8.8,8.48,3.24,0.06,
10/26/2015,25.1,7.26,135,8.9,8.05,2.59,0.05,
10/27/2015,25,7.1,136,7.2,6.88,3.52,0.05,0.05
10/28/2015,24.6,7,130,8.2,6.42,3.21,0.05,0.1
10/29/2015,24.7,7.01,129,5.2,6.51,3.46,0.06,0.14
10/30/2015,24.2,6.99,126,8.5,6.22,3.12,0.06,0.14
10/31/2015,23,6.97,121,29.5,6.33,3.11,0.07,0.24
11/01/2015,22.4,7.01,120,37.1,6.58,3.06,0.05,0.18
11/02/2015,21.9,6.93,117,18.4,6.41,3.18,0.06,0.35
11/03/2015,21.6,6.89,121,18.3,6.28,3.51,0.07,0.4
11/04/2015,21.6,6.92,126,13.5,6.06,3.62,0.08,0.38
11/05/2015,22.2,6.98,132,13.5,6.02,4,0.08,0.32
11/06/2015,22.7,7.05,135,12,6.07,3.9,0.1,0.48
11/07/2015,23.5,7.21,136,13.9,6.18,4.03,0.07,0.32
11/08/2015,23.8,7.19,138,10.2,6.18,4.28,0.07,0.3
11/09/2015,23.3,7.28,142,9.6,6.17,4.6,0.07,0.31
11/10/2015,22.4,7.23,140,11.6,6.33,4.09,0.07,0.26
11/11/2015,21.7,7.18,136,10.6,6.55,3.92,0.07,0.2
11/12/2015,21.5,7.18,132,14.3,6.61,3.84,0.06,0.18
11/13/2015,21.3,7.18,125,14.3,6.83,3.89,0.06,0.21
11/14/2015,21.2,7.15,120,14.2,7.15,3.89,0.06,0.2
11/15/2015,21.8,7.16,122,14.8,6.92,4.28,0.07,0.25
11/16/2015,22,7.12,120,16.2,6.92,4.56,0.07,0.24
11/17/2015,22.6,7.07,124,13.8,6.6,4.97,0.08,0.28
11/18/2015,22.8,7.08,128,10.5,6.59,4.07,0.07,0.23
11/19/2015,22.4,7.04,125,12.3,6.6,1.56,0.07,0.16
11/20/2015,22.4,7.06,126,11.3,6.66,1.55,0.08,0.14
11/21/2015,22.3,6.94,125,13.6,6.3,1.61,0.07,0.19
11/22/2015,22.5,6.92,124,15.5,6.29,1.55,0.07,0.16
11/23/2015,22.3,7.01,127,15.5,6.66,1.72,0.06,0.13
11/24/2015,22.4,6.95,120,13.2,6.74,1.58,0.04,0.15
11/25/2015,21.2,6.94,119,13.5,6.99,1.44,0.04,0.14
11/26/2015,19.7,6.95,120,12.9,7.42,1.5,0.02,0.14
11/27/2015,19.3,7,127,11.1,7.52,1.5,0.02,0.15
11/28/2015,19.5,6.99,127,12.9,7.48,1.47,0.03,0.16
11/29/2015,18.9,6.97,130,14.2,7.61,1.6,0.03,0.15
11/30/2015,19.1,7.08,130,14.5,7.66,1.91,0.04,0.2
12/01/2015,19.3,7.18,124,14.7,7.53,2.33,0.06,0.18
12/02/2015,19.1,7.28,130,10.6,7.51,2.42,0.06,0.24
12/03/2015,18.8,7.25,123,8.5,7.44,2.42,0.06,0.31
12/04/2015,18.6,7.15,122,14.4,7.46,3.12,0.06,0.28
12/05/2015,17.8,7.22,127,18.2,7.74,2.63,0.07,0.37
12/06/2015,16.9,7.14,121,24.9,8.07,2.54,0.08,0.4
12/07/2015,16.8,7.1,118,29.3,8.25,2.74,0.08,0.35
12/08/2015,16.8,7.12,114,22.1,8.28,2.74,0.06,0.32
12/09/2015,16.6,7.09,113,17.2,8.34,2.8,0.08,0.33
12/10/2015,16.8,7.04,106,53.9,8.79,2.71,0.07,0.32
12/11/2015,16.6,7.01,107,69.1,9.56,2.94,0.07,0.43
12/12/2015,16.7,7.07,110,52.6,9.56,2.72,0.07,0.2
12/13/2015,16.8,7.02,105,44.3,9.22,2.57,0.07,0.13
12/14/2015,16.7,6.95,104,37.1,8.74,2.59,0.07,0.24
12/15/2015,16.2,7,105,34.4,8.9,2.6,0.06,0.14
12/16/2015,15.8,6.96,100,31.9,8.94,2.45,0.05,0.11
12/17/2015,15,7,102,26.5,9.36,2.24,0.04,0.1
12/18/2015,14.5,7.02,102,23.5,9.27,2.21,0.04,0.13
12/19/2015,14.6,6.96,97,21.4,9.1,2.29,0.04,0.12
12/20/2015,14.9,7.05,101,23.2,9.04,2.29,0.05,0.15
12/21/2015,15.2,7.16,101,20.3,9.19,2.38,0.07,0.22
12/22/2015,15.5,7.45,110,28.7,9.29,2.55,0.06,0.13
12/23/2015,15.7,7.35,117,37,9.41,2.54,0.07,0.18
12/24/2015,16,7.5,119,66.6,9.42,2.69,0.07,0.17
12/25/2015,15.5,7.45,112,50.2,9.75,2.84,0.08,0.25
12/26/2015,15.2,7.66,119,95,9.56,2.64,0.09,0.18
12/27/2015,15.1,7.47,120,55.5,9.48,2.43,0.07,0.15
12/28/2015,15.5,7.31,117,39.1,9.22,2.68,0.08,0.19
12/29/2015,15.2,7.26,115,36.1,9.19,2.91,0.07,0.13
12/30/2015,15,7.18,115,34.4,9.35,2.89,0.06,0.15
12/31/2015,15,7.25,112,34.8,10.17,2.77,0.07,0.16
